#,יום מכירה,חודש למכור,כתובת,חדרים,"מ""ר",סכום,מגמת שינוי,שונות
0,02.11.2021,11,סוקולוב,3.0,49.72,1200000.0,,0.0
1,31.10.2021,10,אלעזר דוד,3.0,62.0,1500000.0,,0.0
2,30.10.2021,10,לבון פנחס,5.0,102.0,1600000.0,,0.0
3,29.10.2021,10,חיטמן עוזי,4.0,91.0,2625000.0,140% ב 14.3 שנים,9.79020979020979
4,26.10.2021,10,מונטיפיורי,3.0,58.91,1600000.0,32% ב 17.9 שנים,1.787709497206704
5,26.10.2021,10,ז'בוטינסקי,3.0,54.94,1500000.0,162% ב 14.5 שנים,11.172413793103448
6,26.10.2021,10,דיין משה,5.0,106.0,2320000.0,157% ב 13.5 שנים,11.62962962962963
7,26.10.2021,10,דיין משה,3.0,58.5,1490000.0,,0.0
8,25.10.2021,10,בלום לאון,2.0,37.0,605000.0,,0.0
9,25.10.2021,10,יום הכיפורים,4.0,110.0,2455000.0,,0.0
10,24.10.2021,10,חומה ומגדל,3.0,77.0,1920000.0,,0.0
11,24.10.2021,10,בלום לאון,3.0,48.0,1300000.0,,0.0
12,24.10.2021,10,,0.0,216.0,4387500.0,,0.0
13,22.10.2021,10,בוסתנאי,3.0,63.4,1410000.0,88% ב 12.1 שנים,7.272727272727273
14,21.10.2021,10,קרית שמונה,4.0,82.58,1740000.0,12% ב 3 שנים,4.0
15,21.10.2021,10,ברטונוב דבורה,5.0,116.8,3570000.0,,0.0
16,20.10.2021,10,ההסתדרות,3.0,52.27,1285000.0,173% ב 22.7 שנים,7.621145374449339
17,20.10.2021,10,צפת,4.0,90.83,1940000.0,14% ב 19.8 שנים,0.7070707070707071
18,20.10.2021,10,קפאח,3.0,54.92,1350000.0,12% ב 4 שנים,3.0
19,20.10.2021,10,ירמיהו,3.0,58.0,1337000.0,203% ב 13.4 שנים,15.149253731343283
20,20.10.2021,10,אהרונוביץ,3.0,74.0,1900000.0,,0.0
21,20.10.2021,10,קרן היסוד,3.0,72.0,1695000.0,,0.0
22,19.10.2021,10,אלקלעי,4.0,76.82,1700000.0,81% ב 23 שנים,3.5217391304347827
23,19.10.2021,10,שפרינצק,3.0,49.0,1470000.0,104% ב 12.9 שנים,8.062015503875969
24,19.10.2021,10,חנקין,2.0,50.25,1355000.0,0% ב 0.3 שנים,0.0
25,19.10.2021,10,אהרונוביץ,4.0,76.0,1800000.0,,0.0
26,19.10.2021,10,קלויזנר,4.0,89.0,1830000.0,,0.0
27,19.10.2021,10,הבנים,4.0,109.1,2200000.0,,0.0
28,18.10.2021,10,צדוק דוד,4.0,75.5,2110000.0,12% ב 4.5 שנים,2.6666666666666665
29,18.10.2021,10,גרינברג אורי צבי,5.0,110.63,2915000.0,192% ב 19.7 שנים,9.746192893401016
30,18.10.2021,10,"תרצ""ו",5.0,105.97,2100000.0,87% ב 14.1 שנים,6.170212765957447
31,18.10.2021,10,אילת,3.0,62.4,1300000.0,168% ב 14 שנים,12.0
